iter	Passed	Remaining
0	26	12981
1	50	12577
2	66	10986
3	88	10987
4	104	10345
5	125	10334
6	142	10055
7	169	10395
8	199	10893
9	235	11529
10	263	11724
11	295	11997
12	309	11580
13	325	11302
14	355	11493
15	382	11566
16	414	11770
17	443	11869
18	476	12064
19	507	12180
20	537	12261
21	568	12347
22	600	12446
23	632	12547
24	660	12544
25	690	12579
26	721	12631
27	750	12648
28	779	12667
29	808	12673
30	839	12703
31	868	12701
32	899	12734
33	953	13064
34	994	13211
35	1031	13292
36	1065	13338
37	1101	13395
38	1135	13427
39	1171	13471
40	1207	13513
41	1242	13546
42	1273	13533
43	1305	13527
44	1337	13525
45	1369	13516
46	1401	13508
47	1433	13498
48	1463	13473
49	1492	13434
50	1521	13393
51	1550	13361
52	1581	13339
53	1611	13308
54	1643	13296
55	1672	13263
56	1703	13239
57	1735	13227
58	1767	13211
59	1797	13180
60	1828	13158
61	1858	13129
62	1890	13115
63	1920	13085
64	1948	13042
65	1973	12975
66	2004	12956
67	2041	12966
68	2075	12964
69	2112	12974
70	2148	12984
71	2184	12988
72	2217	12970
73	2254	12978
74	2290	12980
75	2325	12974
76	2361	12970
77	2398	12977
78	2431	12955
79	2466	12946
80	2500	12934
81	2532	12911
82	2560	12864
83	2592	12839
84	2623	12811
85	2652	12769
86	2684	12741
87	2714	12710
88	2749	12698
89	2783	12682
90	2815	12652
91	2847	12630
92	2880	12604
93	2911	12576
94	2942	12545
95	2969	12495
96	2999	12460
97	3030	12431
98	3060	12397
99	3089	12359
100	3123	12339
101	3162	12339
102	3192	12306
103	3223	12274
104	3255	12247
105	3284	12209
106	3312	12168
107	3344	12137
108	3375	12107
109	3405	12073
110	3436	12043
111	3471	12025
112	3500	11990
113	3530	11955
114	3562	11925
115	3592	11891
116	3622	11859
117	3656	11836
118	3684	11796
119	3714	11761
120	3744	11728
121	3770	11683
122	3799	11645
123	3829	11611
124	3860	11582
125	3890	11546
126	3918	11507
127	3950	11479
128	3978	11443
129	4008	11408
130	4041	11383
131	4070	11347
132	4101	11316
133	4132	11286
134	4165	11262
135	4193	11224
136	4223	11191
137	4257	11168
138	4290	11142
139	4322	11115
140	4352	11082
141	4382	11050
142	4414	11019
143	4440	10978
144	4471	10946
145	4501	10913
146	4530	10880
147	4561	10848
148	4597	10830
149	4608	10753
150	4647	10740
151	4688	10734
152	4733	10734
153	4763	10703
154	4795	10674
155	4822	10634
