iter	Accuracy	MultiClass
0	0.7935022742	1.047283001
1	0.7889538661	1.008146129
2	0.787394412	0.9706381066
3	0.7884340481	0.931958761
4	0.7914230019	0.8981592097
5	0.7911630929	0.8676406259
6	0.7936322287	0.8401557406
7	0.7942820013	0.814903848
8	0.7945419103	0.7919126238
9	0.7989603639	0.7705755874
10	0.8011695906	0.7510601527
11	0.8011695906	0.7336715447
12	0.8007797271	0.7188960467
13	0.8009096816	0.70390266
14	0.8012995452	0.6870965123
15	0.8016894087	0.6663912815
16	0.8022092268	0.6468458353
17	0.8031189084	0.6304128501
18	0.8044184535	0.6145095452
19	0.8059779077	0.5997680042
20	0.8094866797	0.5860575218
21	0.8127355426	0.5734169788
22	0.8174139051	0.5601387145
23	0.8270305393	0.5480770734
24	0.8376868096	0.5368563749
25	0.8593892138	0.5257142418
26	0.8641975309	0.5155266
27	0.8653671215	0.5062091147
28	0.865237167	0.4979291247
29	0.8653671215	0.4897429043
30	0.8657569851	0.4824323271
31	0.8662768031	0.4755133167
32	0.8664067576	0.4681073368
33	0.8664067576	0.4618720255
34	0.8666666667	0.4565822741
35	0.8667966212	0.4509462214
36	0.8671864847	0.445514331
37	0.8673164392	0.440027054
38	0.8673164392	0.4352918038
39	0.8675763483	0.4307561632
40	0.8674463938	0.4261568012
41	0.8675763483	0.421691907
42	0.8677063028	0.4175952916
43	0.8678362573	0.4133826602
44	0.8678362573	0.4086937535
45	0.8679662118	0.4053357464
46	0.8679662118	0.4023674142
47	0.8679662118	0.3990411674
48	0.8679662118	0.3956039555
49	0.8684860299	0.3930889276
50	0.869785575	0.3907704378
51	0.8701754386	0.3883741152
52	0.8704353476	0.3860533887
53	0.8705653021	0.383486134
54	0.8709551657	0.3814733925
55	0.8717348928	0.3796258804
56	0.8718648473	0.3777303609
57	0.8717348928	0.3754525016
58	0.873294347	0.3733467303
59	0.8730344379	0.371307415
60	0.8731643925	0.3696898207
61	0.8756335283	0.3669176189
62	0.8757634828	0.3644462743
63	0.8760233918	0.3631891079
64	0.8761533463	0.3612123985
65	0.8764132554	0.3595052529
66	0.8764132554	0.3577133451
67	0.8768031189	0.3565083702
68	0.8768031189	0.3553131688
69	0.8768031189	0.3536826963
70	0.8769330734	0.352098784
71	0.8770630279	0.3502269479
72	0.8770630279	0.3489742184
73	0.877842755	0.3477148344
74	0.8782326186	0.3466524769
75	0.8786224821	0.3456688491
76	0.8783625731	0.3444187746
77	0.8787524366	0.3432552616
78	0.8788823912	0.3423217469
79	0.8788823912	0.3412707397
80	0.8788823912	0.3399873933
81	0.8792722547	0.3395469533
82	0.8790123457	0.3387421368
83	0.8791423002	0.3375594845
84	0.8795321637	0.3368001077
85	0.8790123457	0.3360544239
86	0.8790123457	0.3355038024
87	0.8797920728	0.3349999085
88	0.8799220273	0.3342117341
89	0.8795321637	0.3333763619
90	0.8796621183	0.3326522747
91	0.8799220273	0.3320653004
92	0.8804418454	0.3315305591
93	0.8803118908	0.3307032039
94	0.8807017544	0.3298549479
95	0.8809616634	0.3295613494
96	0.8808317089	0.3286983841
97	0.8808317089	0.3276904616
98	0.8810916179	0.326873162
99	0.8810916179	0.3264933679
100	0.8809616634	0.3260798531
101	0.881351527	0.3257107262
102	0.881351527	0.3253377481
103	0.8812215724	0.3246653902
104	0.8810916179	0.3240645151
105	0.8812215724	0.323604478
106	0.8812215724	0.3234142038
107	0.881351527	0.3229595669
108	0.881351527	0.3227059591
109	0.8814814815	0.322236846
110	0.8814814815	0.3218543874
111	0.8814814815	0.3216149175
112	0.8814814815	0.321453494
113	0.8814814815	0.321359281
114	0.8814814815	0.3211693275
115	0.8814814815	0.3208535714
116	0.8814814815	0.3206038404
117	0.8817413905	0.3203959518
118	0.881611436	0.3201401677
119	0.881871345	0.3196096131
120	0.881871345	0.3190629079
121	0.8817413905	0.3187518284
122	0.8817413905	0.3184294112
123	0.881871345	0.3179811488
124	0.8817413905	0.3177376045
125	0.8817413905	0.3174365996
126	0.8817413905	0.3170377694
127	0.881871345	0.3167280677
128	0.8821312541	0.3163587046
129	0.8822612086	0.31611764
130	0.8822612086	0.3157859932
131	0.881871345	0.3156505024
132	0.881871345	0.3152761955
133	0.8821312541	0.3149833224
134	0.8823911631	0.3146776658
135	0.8822612086	0.3144092044
136	0.8821312541	0.3141766308
137	0.8821312541	0.3138772723
138	0.8821312541	0.313738114
139	0.8823911631	0.3136521104
140	0.8822612086	0.313276049
141	0.8822612086	0.3130012428
142	0.8822612086	0.3126506905
143	0.8822612086	0.312562426
144	0.8822612086	0.3122661771
145	0.8820012995	0.3119531389
146	0.8820012995	0.3117206863
147	0.8822612086	0.3114884668
148	0.8822612086	0.3112979533
149	0.8822612086	0.311292443
150	0.8822612086	0.3109827098
151	0.8822612086	0.310667252
152	0.8821312541	0.3104945025
153	0.8821312541	0.3104119162
154	0.8821312541	0.3101473719
155	0.8823911631	0.3098934222
156	0.8823911631	0.3098865781
157	0.8823911631	0.3097143143
158	0.8823911631	0.309535674
159	0.8825211176	0.3093160289
160	0.8827810266	0.3091894831
161	0.8827810266	0.3090413377
162	0.8827810266	0.3089484793
163	0.8829109812	0.3087532864
164	0.8827810266	0.308594879
165	0.8829109812	0.3082131316
166	0.8827810266	0.3080309802
167	0.8825211176	0.3078451275
168	0.8827810266	0.3076360934
169	0.8829109812	0.3072963344
170	0.8827810266	0.3070167251
171	0.8829109812	0.30677659
172	0.8829109812	0.3065712575
173	0.8830409357	0.3064018481
174	0.8831708902	0.3061561427
175	0.8831708902	0.3060547221
176	0.8831708902	0.305992338
177	0.8830409357	0.3058331411
178	0.8830409357	0.3057687385
179	0.8835607537	0.3055755598
180	0.8834307992	0.3053556904
181	0.8836907083	0.305141775
182	0.8836907083	0.3050342985
183	0.8835607537	0.3047992522
184	0.8835607537	0.3045908302
185	0.8835607537	0.3044928367
186	0.8835607537	0.3043004768
187	0.8835607537	0.3041930725
188	0.8835607537	0.3040545393
189	0.8836907083	0.3038541016
190	0.8836907083	0.3036555061
191	0.8836907083	0.3035196945
192	0.8835607537	0.3033453775
193	0.8835607537	0.3033143827
194	0.8836907083	0.3031611614
195	0.8836907083	0.3030363627
