iter	Accuracy	MultiClass
0	0.7919157785	1.046767929
1	0.7921757213	1.002918218
2	0.7874967507	0.9658309174
3	0.7923056927	0.9271357505
4	0.7899662074	0.8935532458
5	0.7894463218	0.8635933275
6	0.7911359501	0.8354959251
7	0.7952950351	0.809866631
8	0.7950350923	0.7880801311
9	0.7988042631	0.7667570338
10	0.7999740057	0.7437664771
11	0.7997140629	0.7234618261
12	0.7995840915	0.7066721154
13	0.8020535482	0.6886039052
14	0.8030933195	0.667379286
15	0.8047829478	0.6491677271
16	0.8073823759	0.6312043152
17	0.809981804	0.6147879558
18	0.8151806603	0.5991816844
19	0.8188198596	0.5856360191
20	0.8254484014	0.572996594
21	0.8286976865	0.5619498642
22	0.8305172862	0.5512012136
23	0.8316870289	0.5402527743
24	0.8320769431	0.5319660436
25	0.8396152846	0.5212514129
26	0.8407850273	0.5114357223
27	0.856381596	0.5022344919
28	0.8609305953	0.4939722743
29	0.8653496231	0.4858394137
30	0.8654795945	0.4798527126
31	0.8658695087	0.4727070274
32	0.8637899662	0.4664457114
33	0.8670392514	0.459553547
34	0.8679490512	0.4536944117
35	0.8679490512	0.4470705807
36	0.8678190798	0.4413411454
37	0.8683389654	0.4360893922
38	0.8679490512	0.4313089037
39	0.8680790226	0.4264147044
40	0.8679490512	0.4221489245
41	0.8695087081	0.4177590235
42	0.8713283078	0.4138567856
43	0.871718222	0.4091096755
44	0.871718222	0.4058297003
45	0.8719781648	0.4030212423
46	0.8719781648	0.3997875084
47	0.872368079	0.3966314768
48	0.8722381076	0.3937066331
49	0.8727579932	0.3910304954
50	0.8727579932	0.3884601922
51	0.8730179361	0.3850959351
52	0.8728879646	0.3826921682
53	0.8728879646	0.3805964365
54	0.8731479075	0.3784565547
55	0.8730179361	0.3763333678
56	0.8734078503	0.3742145265
57	0.8737977645	0.3715091514
58	0.8748375357	0.3689875409
59	0.8754873928	0.3669192629
60	0.875877307	0.3644519496
61	0.875877307	0.3627802367
62	0.8760072784	0.3613967465
63	0.8760072784	0.3597115873
64	0.8763971926	0.3581297226
65	0.8767871068	0.3561574256
66	0.8767871068	0.3548676401
67	0.8770470496	0.3543814625
68	0.8773069925	0.3523173584
69	0.8773069925	0.3508339913
70	0.8774369639	0.3497408388
71	0.8775669353	0.3483649208
72	0.8775669353	0.3474120349
73	0.8774369639	0.3463620788
74	0.8776969067	0.3452933003
75	0.8782167923	0.3446187805
76	0.8780868209	0.3435678725
77	0.8782167923	0.34235485
78	0.8783467637	0.3411798043
79	0.8779568495	0.3399380653
80	0.8780868209	0.3390300898
81	0.8783467637	0.3379013134
82	0.8788666493	0.3372027287
83	0.8792565636	0.3363368477
84	0.8791265921	0.3353713463
85	0.8796464778	0.3344670869
86	0.8796464778	0.3338742026
87	0.8797764492	0.3331573608
88	0.8797764492	0.3324897803
89	0.8797764492	0.3323739186
90	0.8797764492	0.3318991469
91	0.8797764492	0.3314211047
92	0.8799064206	0.3312756974
93	0.8797764492	0.3306190688
94	0.8799064206	0.3297889497
95	0.8799064206	0.3290148381
96	0.880036392	0.3288059684
97	0.8801663634	0.3281197668
98	0.8801663634	0.3275309358
99	0.8801663634	0.3268413637
100	0.8802963348	0.3263229801
101	0.8801663634	0.3260789316
102	0.880036392	0.3257555835
103	0.8804263062	0.3251746271
104	0.8802963348	0.3247776413
105	0.8804263062	0.3245918159
106	0.8805562776	0.3242025433
107	0.880686249	0.3238350783
108	0.8810761632	0.323035702
109	0.8813361061	0.3227431684
110	0.8815960489	0.3220744676
111	0.8813361061	0.3216184043
112	0.8813361061	0.3215547901
113	0.8814660775	0.3211725548
114	0.8817260203	0.3206443823
115	0.8818559917	0.3202549917
116	0.8819859631	0.3197123668
117	0.8819859631	0.3195641524
118	0.8821159345	0.3193223198
119	0.8819859631	0.3190863669
120	0.8821159345	0.3189403263
121	0.8821159345	0.3189206688
122	0.8821159345	0.3185801995
123	0.8821159345	0.3184138242
124	0.8821159345	0.3182307469
125	0.8818559917	0.317774397
126	0.8821159345	0.3172939295
127	0.8821159345	0.3170177178
128	0.8821159345	0.3169304811
129	0.8819859631	0.3167139734
130	0.8821159345	0.3163500906
131	0.8819859631	0.3161528467
132	0.8821159345	0.3158233432
133	0.8822459059	0.3156930271
134	0.8821159345	0.3153754436
135	0.8821159345	0.3153438619
