iter	Accuracy	MultiClass
263	0.8890188434	0.2837558195
264	0.8890188434	0.2836567416
265	0.8890188434	0.2834932568
266	0.8890188434	0.2834225375
267	0.8891487979	0.2833004284
268	0.8891487979	0.2832768183
269	0.8891487979	0.2832279149
270	0.8890188434	0.2830630746
271	0.8891487979	0.2829675599
272	0.8891487979	0.282944363
273	0.8891487979	0.2827724222
274	0.8891487979	0.2826573883
275	0.8892787524	0.2824831187
276	0.8892787524	0.2823850363
277	0.889408707	0.282259
278	0.8892787524	0.2821441221
279	0.889408707	0.2820647449
280	0.8895386615	0.2819581123
281	0.889408707	0.2817834385
282	0.889928525	0.2815712847
283	0.8895386615	0.2814410204
284	0.889668616	0.2812576299
285	0.8897985705	0.2811187151
286	0.8897985705	0.2810837381
287	0.8897985705	0.2810589597
288	0.8897985705	0.2808864044
289	0.8897985705	0.2808550237
290	0.8897985705	0.2806445779
291	0.8897985705	0.2805075378
292	0.8897985705	0.2804622282
293	0.8897985705	0.2803944292
294	0.8897985705	0.2803613687
295	0.8897985705	0.2803362443
296	0.8897985705	0.2802564423
297	0.8897985705	0.2802185165
298	0.8897985705	0.2801416472
299	0.8897985705	0.2799689277
300	0.8895386615	0.2798681292
301	0.8895386615	0.2798333976
302	0.8897985705	0.279615807
303	0.8897985705	0.2795556684
304	0.889668616	0.2795414456
305	0.889928525	0.2794600932
306	0.889928525	0.2792589017
307	0.889928525	0.2790721668
308	0.889928525	0.2790413145
309	0.889928525	0.2789856236
310	0.889928525	0.27881751
311	0.889928525	0.2788032184
312	0.889928525	0.2785672774
313	0.889928525	0.278374411
314	0.889928525	0.2783123177
315	0.8903183886	0.2781379568
316	0.8903183886	0.2779726391
317	0.8903183886	0.2778325924
318	0.8903183886	0.2775809156
319	0.8903183886	0.2774907794
320	0.8904483431	0.2774329502
321	0.8904483431	0.2772298044
322	0.8904483431	0.277113351
323	0.8907082521	0.2770772379
324	0.8908382066	0.2769952809
325	0.8908382066	0.2768175448
326	0.8907082521	0.2767018728
327	0.8907082521	0.2766722865
328	0.8910981157	0.2765484581
329	0.8910981157	0.2765061557
330	0.8913580247	0.2763987479
331	0.8917478882	0.2762005217
332	0.8917478882	0.2761331664
333	0.8918778428	0.275845522
334	0.8920077973	0.2757331119
335	0.8920077973	0.275598487
336	0.8918778428	0.2755299296
337	0.8920077973	0.2755117099
338	0.8920077973	0.2754167214
339	0.8920077973	0.2753460927
340	0.8920077973	0.275275762
341	0.8918778428	0.2752162153
