iter	Passed	Remaining
0	23	11666
1	48	12151
2	64	10654
3	86	10665
4	97	9686
5	119	9840
6	140	9916
7	163	10072
8	196	10719
9	213	10442
10	243	10814
11	280	11421
12	312	11704
13	340	11831
14	362	11711
15	395	11973
16	427	12141
17	455	12191
18	488	12362
19	524	12588
20	556	12696
21	590	12827
22	619	12848
23	652	12932
24	682	12963
25	709	12931
26	737	12923
27	765	12911
28	796	12939
29	824	12910
30	851	12889
31	880	12881
32	910	12890
33	940	12896
34	973	12937
35	1002	12925
36	1031	12909
37	1061	12907
38	1090	12894
39	1117	12856
40	1146	12832
41	1178	12851
42	1209	12855
43	1241	12870
44	1269	12832
45	1302	12854
46	1332	12844
47	1362	12828
48	1394	12830
49	1424	12817
50	1455	12810
51	1484	12790
52	1514	12772
53	1546	12775
54	1571	12718
55	1599	12682
56	1628	12659
57	1658	12642
58	1687	12610
59	1713	12566
60	1740	12526
61	1766	12480
62	1798	12472
63	1827	12447
64	1858	12438
65	1889	12426
66	1919	12407
67	1953	12409
68	1984	12397
69	2016	12387
70	2049	12383
71	2080	12368
72	2109	12337
73	2141	12326
74	2172	12312
75	2205	12305
76	2231	12259
77	2260	12227
78	2294	12228
79	2328	12226
80	2356	12191
81	2390	12186
82	2421	12164
83	2447	12121
84	2477	12097
85	2507	12071
86	2537	12047
87	2569	12029
88	2599	12005
89	2627	11968
90	2656	11938
91	2685	11910
92	2717	11892
93	2745	11858
94	2776	11834
95	2808	11819
96	2837	11789
97	2865	11756
98	2898	11741
99	2927	11710
100	2959	11690
101	2987	11655
102	3018	11632
103	3049	11611
104	3084	11605
105	3138	11667
106	3177	11672
107	3206	11638
108	3236	11608
109	3266	11580
110	3300	11567
111	3330	11537
112	3359	11507
113	3389	11477
114	3417	11441
115	3447	11411
116	3478	11388
117	3508	11358
118	3539	11332
119	3568	11299
120	3599	11275
121	3630	11249
122	3658	11212
123	3688	11184
124	3714	11143
125	3744	11113
126	3774	11086
127	3804	11057
128	3831	11019
129	3859	10983
130	3887	10949
131	3919	10928
132	3951	10902
133	3992	10903
134	4023	10878
135	4051	10842
136	4083	10818
137	4116	10798
138	4145	10767
139	4175	10737
140	4204	10704
141	4234	10676
142	4263	10644
143	4297	10623
144	4327	10595
145	4356	10563
146	4384	10528
147	4414	10500
148	4442	10464
149	4470	10431
150	4477	10349
151	4506	10317
152	4539	10294
153	4569	10266
154	4601	10241
155	4627	10205
156	4658	10176
157	4690	10152
158	4727	10138
159	4764	10125
160	4798	10103
161	4834	10086
162	4869	10066
163	4903	10045
164	4938	10025
165	4973	10006
166	5003	9977
167	5035	9951
168	5067	9924
169	5104	9908
170	5134	9879
171	5166	9852
172	5198	9826
173	5232	9802
174	5261	9770
175	5292	9743
176	5320	9709
177	5350	9678
178	5380	9649
179	5415	9628
180	5445	9597
181	5473	9564
182	5481	9495
183	5514	9471
184	5544	9440
185	5578	9416
186	5604	9380
187	5632	9346
188	5657	9309
189	5684	9275
190	5714	9245
191	5743	9213
192	5772	9182
193	5802	9152
194	5831	9121
195	5858	9087
196	5889	9058
197	5918	9026
198	5945	8993
199	5974	8961
200	6008	8938
201	6040	8911
202	6069	8879
203	6101	8852
204	6130	8822
205	6159	8791
206	6191	8763
207	6219	8730
208	6249	8700
209	6282	8675
210	6312	8646
211	6344	8618
212	6374	8588
213	6405	8560
214	6435	8531
215	6462	8496
216	6490	8464
217	6521	8435
218	6548	8402
219	6579	8373
220	6611	8346
221	6641	8317
222	6669	8283
223	6693	8247
224	6721	8214
225	6751	8185
226	6780	8154
227	6808	8122
228	6834	8088
229	6861	8054
230	6884	8017
231	6912	7985
232	6939	7951
233	6967	7920
234	6998	7892
235	7029	7863
236	7060	7835
237	7090	7805
238	7120	7776
239	7149	7745
240	7179	7715
241	7211	7688
242	7239	7656
243	7268	7625
244	7295	7593
245	7324	7562
246	7355	7534
247	7384	7503
248	7417	7477
249	7445	7445
250	7475	7416
251	7508	7389
252	7533	7354
253	7564	7326
254	7593	7295
255	7622	7264
256	7653	7236
257	7681	7205
258	7711	7175
259	7742	7146
260	7770	7115
261	7799	7085
262	7832	7058
263	7857	7024
264	7887	6994
265	7918	6965
266	7946	6934
267	7975	6903
268	8006	6875
269	8037	6846
270	8066	6816
271	8098	6788
272	8129	6759
273	8160	6730
274	8186	6698
275	8216	6668
276	8246	6638
277	8279	6611
278	8306	6580
279	8341	6553
280	8368	6522
281	8397	6491
282	8428	6463
283	8451	6427
284	8480	6397
285	8514	6370
286	8548	6344
287	8578	6314
288	8603	6281
289	8636	6254
290	8660	6220
291	8687	6188
292	8720	6160
293	8749	6130
294	8778	6100
295	8808	6070
296	8838	6041
297	8867	6010
298	8898	5981
299	8927	5951
300	8957	5921
301	8986	5891
302	9019	5864
303	9051	5836
304	9080	5805
305	9113	5777
306	9143	5747
307	9167	5714
308	9193	5682
309	9227	5655
310	9262	5629
311	9298	5602
312	9333	5576
313	9367	5548
314	9402	5522
315	9436	5494
316	9470	5467
317	9508	5442
318	9540	5413
319	9574	5385
320	9611	5359
321	9640	5329
322	9677	5303
323	9710	5274
324	9742	5245
325	9774	5217
326	9802	5185
327	9834	5157
328	9863	5126
329	9891	5095
330	9921	5065
331	9952	5036
332	9982	5006
333	10015	4977
334	10046	4948
335	10076	4918
336	10104	4887
337	10134	4857
338	10162	4826
339	10192	4796
340	10218	4764
341	10249	4735
342	10277	4704
343	10305	4673
344	10335	4643
345	10365	4613
346	10395	4583
347	10423	4552
348	10450	4521
349	10479	4491
350	10508	4460
351	10538	4430
352	10565	4399
353	10592	4368
354	10621	4338
355	10652	4309
356	10682	4278
357	10712	4248
358	10734	4215
359	10762	4185
360	10791	4155
361	10821	4125
362	10850	4095
363	10880	4065
364	10908	4034
365	10940	4005
366	10965	3973
367	10993	3943
368	11024	3913
369	11053	3883
370	11082	3853
371	11108	3822
372	11139	3792
373	11170	3763
374	11201	3733
375	11232	3704
376	11257	3672
377	11290	3643
378	11319	3613
379	11345	3582
380	11372	3551
381	11402	3522
382	11432	3492
383	11462	3462
384	11494	3433
385	11524	3403
386	11554	3373
387	11579	3342
388	11608	3312
389	11642	3283
390	11671	3253
