iter	Passed	Remaining
407	5993	67461
408	6007	67434
409	6021	67412
410	6036	67396
411	6051	67386
412	6066	67373
413	6081	67364
414	6096	67359
415	6112	67353
416	6126	67335
417	6142	67334
418	6158	67333
419	6174	67327
420	6188	67308
421	6201	67278
422	6215	67256
423	6230	67247
424	6244	67220
425	6264	67259
426	6279	67254
427	6296	67257
428	6315	67288
429	6330	67284
430	6349	67307
431	6366	67320
432	6382	67314
433	6399	67326
434	6417	67343
435	6433	67345
436	6450	67356
437	6464	67329
438	6478	67308
439	6495	67312
440	6511	67312
441	6527	67317
442	6546	67338
443	6561	67324
444	6577	67325
445	6594	67330
446	6612	67351
447	6629	67358
448	6647	67381
449	6667	67413
450	6684	67418
451	6699	67413
452	6716	67412
453	6730	67395
454	6743	67364
455	6757	67342
456	6772	67328
457	6787	67316
458	6802	67297
459	6817	67282
460	6832	67275
461	6848	67272
462	6863	67260
463	6880	67267
464	6896	67260
465	6912	67254
466	6927	67247
467	6943	67234
468	6958	67229
469	6974	67218
470	6989	67209
471	7004	67194
472	7017	67162
473	7032	67149
474	7046	67127
475	7061	67111
476	7075	67091
477	7090	67077
478	7106	67070
479	7120	67048
480	7135	67033
481	7148	67006
482	7163	66990
483	7178	66978
484	7190	66940
485	7205	66924
486	7219	66905
487	7236	66904
488	7251	66892
489	7264	66866
490	7279	66852
491	7293	66830
492	7308	66818
493	7325	66821
494	7341	66813
495	7357	66810
496	7372	66796
497	7388	66791
498	7403	66775
499	7419	66772
500	7433	66755
501	7448	66739
502	7462	66721
503	7478	66710
504	7491	66684
505	7507	66679
506	7520	66649
507	7535	66636
508	7550	66620
509	7565	66603
510	7578	66577
511	7593	66565
512	7609	66553
513	7624	66544
514	7640	66543
515	7656	66533
516	7671	66519
517	7686	66507
518	7699	66478
519	7715	66471
520	7728	66443
521	7742	66423
522	7757	66403
523	7771	66386
524	7786	66372
525	7800	66346
526	7815	66336
527	7829	66309
528	7841	66272
529	7855	66253
530	7872	66255
531	7887	66243
532	7902	66231
533	7917	66218
534	7932	66206
535	7946	66182
536	7962	66173
537	7975	66147
538	7990	66131
539	8005	66117
540	8021	66113
541	8035	66096
542	8050	66076
543	8064	66056
544	8079	66043
545	8094	66030
546	8107	66003
547	8120	65973
548	8135	65960
549	8151	65949
550	8165	65930
551	8180	65914
552	8191	65876
553	8207	65863
554	8222	65856
555	8236	65833
556	8252	65826
557	8266	65809
558	8281	65790
559	8295	65771
560	8310	65755
561	8325	65743
562	8339	65725
563	8354	65712
564	8369	65694
565	8384	65681
566	8399	65666
567	8413	65651
568	8428	65632
569	8442	65616
570	8459	65616
571	8475	65608
572	8487	65572
573	8501	65555
574	8517	65547
575	8528	65504
576	8543	65493
577	8556	65461
578	8571	65446
579	8585	65430
580	8600	65416
581	8615	65400
582	8630	65385
583	8644	65367
584	8660	65357
585	8672	65325
586	8687	65312
587	8703	65309
588	8717	65282
589	8733	65276
590	8747	65259
591	8762	65247
592	8777	65233
593	8793	65222
594	8807	65201
595	8821	65185
596	8836	65168
597	8852	65161
598	8866	65147
599	8883	65142
600	8898	65130
601	8912	65109
602	8926	65092
603	8941	65079
604	8954	65050
605	8968	65031
606	8981	65004
607	8996	64989
608	9012	64980
609	9027	64964
610	9041	64947
611	9055	64927
612	9070	64914
613	9085	64900
614	9099	64880
615	9116	64878
616	9131	64869
617	9146	64854
618	9160	64836
619	9175	64822
620	9190	64810
621	9205	64795
622	9220	64780
623	9235	64764
624	9249	64749
625	9264	64734
626	9279	64716
627	9294	64708
628	9308	64683
629	9323	64669
630	9337	64649
631	9351	64633
632	9367	64627
633	9386	64637
634	9401	64623
635	9418	64625
636	9435	64627
637	9453	64632
638	9468	64622
639	9484	64612
640	9498	64595
641	9514	64584
642	9526	64550
643	9539	64525
644	9554	64511
645	9567	64483
646	9582	64468
647	9596	64447
648	9610	64429
649	9625	64419
650	9641	64411
651	9657	64400
652	9671	64386
653	9686	64366
654	9699	64342
655	9715	64336
656	9733	64343
657	9751	64345
658	9767	64340
659	9783	64331
660	9798	64319
661	9813	64306
662	9827	64287
663	9842	64271
664	9857	64260
665	9873	64252
666	9889	64244
667	9902	64220
668	9916	64198
669	9930	64180
670	9945	64163
671	9961	64155
672	9976	64141
673	9992	64133
674	10008	64127
675	10027	64139
676	10042	64126
677	10058	64116
678	10074	64108
679	10088	64093
680	10103	64077
681	10118	64061
682	10132	64043
683	10147	64029
684	10162	64014
685	10177	64001
686	10192	63987
687	10206	63970
688	10220	63950
689	10235	63937
690	10252	63934
691	10268	63926
692	10283	63913
693	10298	63900
694	10313	63886
695	10328	63872
696	10343	63857
697	10358	63840
698	10373	63826
699	10388	63812
700	10402	63798
701	10417	63779
702	10430	63752
703	10444	63736
704	10457	63710
705	10470	63686
706	10484	63666
707	10500	63652
708	10514	63636
709	10527	63610
710	10540	63586
711	10555	63571
712	10570	63553
713	10583	63533
714	10598	63515
715	10614	63506
716	10630	63498
717	10645	63484
718	10658	63464
719	10673	63448
720	10688	63435
721	10702	63414
722	10718	63404
723	10734	63397
724	10749	63382
725	10763	63368
726	10778	63351
727	10794	63341
728	10809	63330
729	10823	63308
730	10837	63291
731	10850	63267
732	10869	63272
733	10884	63258
734	10898	63243
735	10913	63224
736	10927	63207
737	10942	63191
738	10956	63174
739	10969	63151
740	10983	63128
741	10998	63115
742	11011	63091
743	11028	63085
744	11043	63072
745	11059	63064
746	11074	63051
747	11089	63037
748	11104	63021
749	11119	63010
750	11134	62997
751	11148	62979
752	11162	62956
753	11177	62943
754	11192	62929
755	11207	62916
756	11222	62901
757	11235	62876
758	11248	62853
759	11264	62845
760	11279	62831
761	11294	62816
762	11309	62805
763	11324	62787
764	11338	62768
765	11354	62763
766	11369	62749
767	11384	62734
768	11400	62724
769	11413	62698
770	11427	62680
771	11443	62670
772	11457	62653
773	11473	62642
774	11487	62626
775	11502	62609
776	11516	62592
777	11530	62570
778	11543	62549
779	11558	62533
780	11572	62515
781	11587	62501
782	11600	62478
783	11615	62461
784	11630	62446
785	11645	62433
786	11661	62427
787	11676	62411
788	11691	62397
789	11706	62386
790	11721	62370
791	11733	62342
792	11747	62321
793	11759	62292
794	11775	62281
795	11789	62262
796	11804	62251
797	11818	62233
798	11833	62219
799	11849	62208
800	11865	62201
801	11880	62186
802	11895	62171
803	11909	62154
804	11923	62137
805	11938	62123
806	11950	62093
807	11963	62070
808	11979	62059
809	11992	62036
810	12007	62023
811	12023	62012
812	12038	62001
813	12053	61983
814	12066	61961
815	12082	61950
816	12097	61937
817	12110	61913
818	12125	61899
819	12139	61883
820	12154	61869
821	12170	61858
822	12185	61847
823	12200	61831
824	12212	61803
825	12226	61782
826	12240	61763
827	12255	61753
828	12269	61734
829	12284	61720
830	12298	61699
831	12313	61686
832	12329	61676
833	12344	61661
834	12357	61638
835	12373	61631
836	12392	61638
837	12415	61662
838	12433	61661
839	12450	61658
840	12467	61656
841	12482	61642
842	12498	61630
843	12513	61620
844	12529	61610
845	12545	61599
846	12562	61594
847	12578	61587
848	12595	61580
849	12612	61577
850	12629	61574
851	12644	61562
852	12661	61558
853	12677	61546
854	12692	61531
855	12707	61519
856	12723	61507
857	12740	61504
858	12754	61487
859	12771	61482
860	12784	61456
861	12799	61442
862	12814	61428
863	12829	61417
864	12845	61407
865	12861	61398
866	12877	61387
867	12892	61373
868	12906	61354
869	12921	61342
870	12935	61322
871	12948	61299
872	12963	61283
873	12977	61266
874	12992	61251
875	13008	61239
876	13023	61225
877	13038	61211
878	13052	61194
879	13067	61180
880	13083	61168
881	13098	61157
882	13113	61139
883	13127	61121
884	13142	61109
885	13157	61096
886	13172	61081
887	13188	61070
888	13203	61055
889	13216	61035
890	13231	61020
891	13245	61000
892	13258	60974
893	13273	60964
894	13287	60945
895	13301	60925
896	13316	60911
897	13333	60908
898	13349	60896
899	13363	60877
900	13377	60861
901	13391	60839
902	13406	60828
903	13422	60818
904	13435	60795
905	13451	60784
906	13466	60768
907	13481	60757
908	13496	60740
909	13511	60726
910	13527	60715
911	13544	60710
912	13561	60708
913	13579	60706
914	13597	60705
915	13611	60689
916	13626	60671
917	13642	60664
918	13656	60643
919	13671	60628
920	13686	60615
921	13700	60597
922	13715	60583
923	13730	60567
924	13745	60554
925	13758	60533
926	13774	60519
927	13789	60505
928	13804	60493
929	13820	60482
930	13836	60472
931	13851	60460
932	13869	60458
933	13884	60442
934	13897	60422
935	13912	60405
936	13927	60392
937	13943	60380
938	13957	60365
939	13973	60352
940	13987	60333
941	14002	60319
942	14017	60306
943	14030	60284
944	14045	60269
945	14061	60257
946	14075	60242
947	14090	60226
948	14104	60206
949	14119	60193
950	14135	60181
951	14150	60167
952	14165	60154
953	14180	60140
954	14195	60124
955	14209	60108
956	14224	60092
957	14238	60075
958	14253	60059
959	14267	60040
960	14281	60022
961	14295	60007
962	14311	59993
963	14325	59978
964	14339	59960
965	14358	59959
966	14371	59939
967	14386	59923
968	14400	59907
969	14416	59896
970	14432	59884
971	14446	59865
972	14460	59847
973	14473	59825
974	14486	59803
975	14498	59778
976	14513	59763
977	14529	59751
978	14544	59739
979	14560	59726
980	14575	59713
981	14591	59701
982	14605	59684
983	14620	59669
984	14635	59655
985	14649	59638
986	14664	59625
987	14680	59614
988	14695	59599
989	14709	59582
990	14725	59568
991	14740	59554
992	14756	59544
993	14774	59542
994	14790	59532
995	14805	59519
996	14819	59499
997	14834	59485
998	14850	59474
999	14868	59474
1000	14891	59491
1001	14911	59498
1002	14927	59484
1003	14941	59469
1004	14956	59452
1005	14971	59440
1006	14986	59425
1007	15002	59413
1008	15016	59395
1009	15030	59377
1010	15045	59362
1011	15060	59347
1012	15076	59338
1013	15092	59327
1014	15108	59316
1015	15124	59308
1016	15140	59297
1017	15155	59280
1018	15170	59268
1019	15185	59252
1020	15200	59240
1021	15215	59225
1022	15229	59207
1023	15245	59194
1024	15260	59181
1025	15275	59167
1026	15291	59155
1027	15305	59138
1028	15320	59123
1029	15337	59118
1030	15353	59104
1031	15368	59091
1032	15383	59077
1033	15398	59062
1034	15412	59045
1035	15426	59024
1036	15441	59011
1037	15456	58996
1038	15471	58981
1039	15487	58971
1040	15502	58956
1041	15517	58944
1042	15533	58932
1043	15548	58918
1044	15561	58896
1045	15575	58878
1046	15591	58865
1047	15606	58852
