iter	MultiClass
0	1.056142571
1	1.019609309
2	0.9880237822
3	0.9333308244
4	0.8867926839
5	0.8464528087
6	0.8110895437
7	0.7801611087
8	0.7527590366
9	0.7284458161
10	0.7067192044
11	0.6872655692
12	0.669657236
13	0.6538212228
14	0.6395300163
15	0.6268444136
16	0.6148054947
17	0.6045331843
18	0.5952354056
19	0.5861543517
20	0.5750448427
21	0.5651820564
22	0.5565025304
23	0.5484031794
24	0.5339331353
25	0.5222325673
26	0.5120857542
27	0.5011251284
28	0.4909771095
29	0.4820009593
30	0.4740589004
31	0.4668828034
32	0.4601391405
33	0.4541206647
34	0.4488473986
35	0.4439883846
36	0.4353488082
37	0.427605419
38	0.4211382627
39	0.4154943749
40	0.4105889063
41	0.4055185618
42	0.4015852133
43	0.3974031865
44	0.3939855986
45	0.3906170989
46	0.3877277102
47	0.385082462
48	0.3823434796
49	0.3800522259
50	0.3769462076
51	0.3744572044
52	0.3710823902
53	0.3676635647
54	0.3656280335
55	0.363099271
56	0.3607631492
57	0.3589547824
58	0.3565103299
59	0.3545903959
60	0.3525469953
61	0.3510918931
62	0.3496562739
63	0.3475611196
64	0.3457046481
65	0.3438972967
66	0.3424739892
67	0.3410886006
68	0.3398586954
69	0.3382864412
70	0.3370408925
71	0.3358043555
72	0.3343316424
73	0.3329793495
74	0.3319772116
75	0.3309557176
76	0.3299201666
77	0.3289307846
78	0.3280446563
79	0.3272003816
80	0.3263867276
81	0.3254384377
82	0.3246518505
83	0.3239699131
84	0.3224464934
85	0.3211852694
86	0.3200530649
87	0.3191470728
88	0.318301751
89	0.3175143387
90	0.3169389233
91	0.3158376886
92	0.3149370591
93	0.3141092846
94	0.3136550511
95	0.3130376869
96	0.3125885303
97	0.3121775465
98	0.3118388784
99	0.3114179944
100	0.3111103594
101	0.3106224272
102	0.3103209481
103	0.3098135329
104	0.3094402142
105	0.308865243
106	0.3085559263
107	0.3081162891
108	0.3070402807
109	0.3057685854
110	0.3052007855
111	0.3044202273
112	0.3037585979
113	0.3028544462
114	0.3024132542
115	0.3021674953
116	0.3017956997
117	0.3011284856
118	0.3005941623
119	0.3003627459
120	0.3000298845
121	0.2997216467
122	0.2994837254
123	0.2987132894
124	0.2980680969
125	0.2977880047
126	0.2975190185
127	0.2970518068
128	0.2967090136
129	0.2965311596
130	0.296270836
131	0.2960236175
132	0.2957627862
133	0.2955237226
134	0.2950452463
135	0.2948567624
136	0.2947109888
137	0.2942453319
138	0.2941182481
139	0.293923291
140	0.2938185777
141	0.2931092879
142	0.2926462331
143	0.2922791654
144	0.2921214291
145	0.2919615985
146	0.2916723995
147	0.2912542444
148	0.2908416105
149	0.2905365776
150	0.2905052588
151	0.2899246394
152	0.2895795298
153	0.2892189036
154	0.2889319574
155	0.2885066945
156	0.2882353602
157	0.2880190162
158	0.2877891546
159	0.2875869628
160	0.2873046812
161	0.2868783077
162	0.2865369741
163	0.2863593423
164	0.286151883
165	0.285876614
166	0.2855996315
167	0.2853418781
168	0.2852817473
169	0.2850523617
170	0.2847840101
171	0.284562716
172	0.284160141
173	0.2840146847
174	0.2837168865
175	0.2835248487
176	0.2834677006
177	0.2832214657
178	0.2829883676
179	0.2827277901
180	0.2825592969
181	0.2822199941
182	0.2818291914
183	0.2815517964
184	0.2814361041
185	0.281314129
186	0.2809108559
187	0.2804084859
188	0.2802329166
189	0.2798119692
190	0.27934517
191	0.2790732011
192	0.2787187307
193	0.2785327218
194	0.2780401568
195	0.277807376
196	0.277397249
197	0.2773043397
198	0.277023835
199	0.2769330518
200	0.2765844834
201	0.2761538897
202	0.2759104472
203	0.2756561843
204	0.2754204524
205	0.2750959047
206	0.2749621255
207	0.2748293935
208	0.2746491597
209	0.274577796
210	0.2743731291
211	0.2740574661
212	0.2738970644
213	0.273694111
214	0.2734181439
215	0.2732859196
216	0.2730699246
217	0.2729466485
218	0.2727322718
219	0.2724578596
220	0.2720776869
221	0.2718329116
222	0.2714739354
223	0.2711456434
224	0.2708736109
225	0.2706840481
226	0.2703551532
227	0.2702335589
228	0.2701068558
229	0.2698810559
230	0.2698473889
231	0.269453191
232	0.2691850615
233	0.268975159
234	0.2686252262
235	0.2684023138
236	0.2681564914
237	0.2677757158
238	0.2674472017
239	0.267216769
240	0.2670618885
241	0.2668781008
242	0.266733882
243	0.266474669
244	0.2662409363
245	0.2657998712
246	0.265705772
247	0.2655368504
248	0.2652155076
249	0.2650804592
250	0.2648756495
251	0.2647006514
252	0.2645632231
253	0.2643622688
254	0.2641854937
255	0.2639551879
256	0.2637357501
257	0.2635090617
258	0.26320222
259	0.2630718996
260	0.2628287743
261	0.2625348473
262	0.2623204389
263	0.2622314802
264	0.2620111857
265	0.261794683
266	0.26155838
267	0.261395059
268	0.2611492208
269	0.2609487107
270	0.2607133596
271	0.2605322056
272	0.2603151794
273	0.2601929822
274	0.2601337398
275	0.2600305814
276	0.2598063204
277	0.2595637346
278	0.259475585
279	0.2593484536
280	0.2591092948
281	0.2589027716
282	0.2587389588
283	0.2586360859
284	0.258435195
285	0.2583199311
286	0.2580504689
287	0.2577203206
288	0.2574307566
289	0.2573947892
290	0.2571968493
291	0.2569469019
292	0.2568841373
293	0.2566878951
294	0.2565672527
295	0.2563269516
296	0.2560960746
297	0.2558697194
298	0.2554125666
299	0.2553487549
300	0.2548897934
301	0.2545992616
302	0.2542929435
303	0.2540529121
304	0.2538045988
305	0.2535953943
306	0.2534278689
307	0.25322179
308	0.2530769207
309	0.2529689074
310	0.2527569899
311	0.2526155159
312	0.2524338383
313	0.2522839238
314	0.251901165
315	0.2517800625
316	0.2514440915
317	0.2513462797
318	0.2511811025
319	0.2510279513
320	0.2509358671
321	0.250796646
322	0.2507145096
323	0.2505898055
324	0.2502635443
325	0.2501504064
326	0.2498503552
327	0.2496691377
328	0.2494699921
329	0.2492595501
330	0.2492126036
331	0.2487543402
332	0.2486526255
333	0.2483958241
334	0.2482601411
335	0.2479889971
336	0.2478529333
337	0.2477150449
338	0.247456768
339	0.2471906059
340	0.2469294255
341	0.2467156676
342	0.2466162217
343	0.2464251993
344	0.2463199466
345	0.2462913725
346	0.2459601771
347	0.2457843857
348	0.2456304571
349	0.2452667213
350	0.2451887257
351	0.2448745382
352	0.2446834841
353	0.2445603984
354	0.2444125622
355	0.2441778299
356	0.2439480477
357	0.243823312
358	0.2436631324
359	0.2433738699
360	0.2431958414
361	0.2429687722
362	0.2427429881
363	0.2426945186
364	0.2425405266
365	0.2424339729
366	0.2421925929
367	0.2420784237
368	0.2419349823
369	0.2417566524
370	0.2416452914
371	0.2414815103
372	0.2411920415
373	0.2411485696
374	0.2410142669
375	0.2408591167
376	0.2406432487
377	0.2405040276
378	0.2404306331
379	0.240260236
380	0.2401172548
381	0.239868767
382	0.2396138694
383	0.2393364268
384	0.2391904469
385	0.2390232547
386	0.2387787175
387	0.2385803334
388	0.2383909292
389	0.2383093163
390	0.2381828354
391	0.2380232904
392	0.2379278585
393	0.2379073284
394	0.2377045495
395	0.2375714843
396	0.2373078289
397	0.2371113011
398	0.2369137737
399	0.2368125192
400	0.2366623032
401	0.2364185116
402	0.2362246968
403	0.2361028804
404	0.2359490153
405	0.2355891189
406	0.2353667459
407	0.2352652534
408	0.2350012965
409	0.2349108782
410	0.2346796363
411	0.2343697167
412	0.2342188344
413	0.2340844048
414	0.2339580666
415	0.2338412002
416	0.2336246817
417	0.2335007075
418	0.2333742582
419	0.2331839498
420	0.2330691301
421	0.2329001768
422	0.2327060764
423	0.2325719958
424	0.2323828138
425	0.2322118773
426	0.2321108924
427	0.2319627389
428	0.2318694331
429	0.2316969258
430	0.2315179613
431	0.2314197212
432	0.2313354746
433	0.2310827824
434	0.2309305197
435	0.230753475
436	0.2306765583
437	0.2304718755
438	0.2302209603
439	0.2298903995
440	0.2297967445
441	0.2296293778
442	0.2292704809
443	0.2290798075
444	0.2289942917
445	0.2288026029
446	0.2286052977
447	0.2285110716
448	0.2283520343
449	0.2282862236
450	0.2281565219
451	0.2278691474
452	0.2278037333
453	0.2276362396
454	0.2275773463
455	0.227232792
456	0.2271561768
457	0.2269836695
