iter	Passed	Remaining
0	28	14309
1	57	14339
2	75	12492
3	103	12825
4	118	11752
5	144	11923
6	165	11674
7	197	12120
8	231	12615
9	262	12844
10	291	12974
11	308	12537
12	338	12686
13	364	12669
14	398	12874
15	424	12833
16	440	12513
17	469	12562
18	502	12717
19	527	12658
20	555	12675
21	584	12696
22	614	12744
23	647	12843
24	678	12897
25	709	12930
26	736	12904
27	768	12959
28	797	12951
29	832	13049
30	876	13264
31	911	13336
32	945	13373
33	978	13412
34	1010	13430
35	1043	13447
36	1074	13443
37	1106	13451
38	1136	13437
39	1168	13442
40	1201	13450
41	1233	13450
42	1264	13435
43	1296	13434
44	1327	13426
45	1363	13455
46	1395	13446
47	1426	13433
48	1460	13438
49	1492	13433
50	1523	13409
51	1556	13407
52	1586	13378
53	1617	13361
54	1652	13367
55	1683	13346
56	1715	13329
57	1746	13311
58	1780	13306
59	1819	13342
60	1857	13365
61	1891	13365
62	1928	13380
63	1964	13381
64	2000	13385
65	2036	13388
66	2068	13371
67	2101	13350
68	2135	13338
69	2172	13345
70	2210	13354
71	2239	13313
72	2276	13318
73	2311	13308
74	2348	13306
75	2383	13296
76	2421	13303
77	2459	13307
78	2496	13303
79	2532	13295
80	2570	13294
81	2606	13285
82	2642	13275
83	2674	13244
84	2709	13229
85	2741	13196
86	2773	13166
87	2805	13133
88	2833	13086
89	2863	13046
90	2895	13013
91	2927	12981
92	2963	12969
93	3002	12969
94	3038	12951
95	3069	12917
96	3099	12877
97	3130	12841
98	3164	12818
99	3193	12773
100	3227	12748
101	3261	12727
102	3295	12703
103	3324	12659
104	3357	12632
105	3387	12592
106	3418	12555
107	3451	12526
108	3483	12494
109	3511	12448
110	3544	12420
111	3578	12396
112	3611	12369
113	3647	12349
114	3680	12321
115	3712	12290
116	3743	12254
117	3774	12220
118	3807	12188
119	3839	12159
120	3871	12126
121	3908	12108
122	3938	12072
123	3973	12049
124	3987	11962
125	4020	11935
126	4050	11897
127	4082	11866
128	4112	11826
129	4141	11788
130	4149	11688
131	4180	11656
132	4211	11622
133	4243	11589
134	4273	11553
135	4305	11522
136	4330	11475
137	4349	11409
138	4380	11377
139	4393	11297
140	4419	11253
141	4448	11214
142	4458	11129
143	4488	11096
144	4520	11066
145	4548	11029
146	4578	10994
147	4609	10963
148	4643	10938
149	4666	10888
150	4692	10846
151	4724	10816
152	4753	10779
153	4784	10750
154	4796	10676
155	4825	10641
156	4832	10557
157	4862	10525
158	4891	10491
159	4922	10459
160	4951	10425
161	4982	10396
162	5017	10373
163	5047	10341
164	5067	10288
165	5099	10259
166	5128	10226
167	5158	10193
168	5188	10161
169	5219	10132
170	5247	10095
171	5276	10061
172	5309	10035
173	5339	10004
174	5372	9977
175	5406	9952
176	5435	9918
177	5466	9888
178	5496	9857
179	5527	9826
180	5559	9797
181	5589	9765
182	5621	9737
183	5651	9705
184	5677	9667
185	5707	9635
186	5737	9603
187	5761	9562
188	5793	9533
189	5823	9501
190	5851	9466
191	5880	9433
192	5911	9403
