iter	Accuracy	MultiClass
0	0.7906160645	1.047614758
1	0.7854172082	1.005615559
2	0.7847673512	0.968826856
3	0.785027294	0.9319673158
4	0.7855471796	0.8985881474
5	0.7860670652	0.8685491789
6	0.7877566935	0.8413243283
7	0.7920457499	0.8159487758
8	0.7936054068	0.7929275755
9	0.7942552638	0.7716323475
10	0.793995321	0.752948877
11	0.7942552638	0.7319104027
12	0.7945152067	0.711966974
13	0.7947751495	0.6945321824
14	0.7963348063	0.6747473491
15	0.7993241487	0.6558551878
16	0.8024434624	0.6410411783
17	0.8079022615	0.6245055201
18	0.810631661	0.6099029735
19	0.8118014037	0.596805874
20	0.8158305173	0.5840109964
21	0.8211593449	0.5723907526
22	0.8257083442	0.5613329248
23	0.8310371718	0.550958039
24	0.8368858851	0.5386617512
25	0.8374057707	0.527860522
26	0.8561216532	0.5176988841
27	0.863400052	0.507982132
28	0.8649597089	0.499742245
29	0.8654795945	0.492079024
30	0.8652196517	0.4845218471
31	0.8654795945	0.4773231797
32	0.8659994801	0.4705642223
33	0.8659994801	0.4647708408
34	0.8659994801	0.459149703
35	0.8658695087	0.4531828229
36	0.8659994801	0.4481708121
37	0.8661294515	0.4424029396
38	0.8661294515	0.4372562086
39	0.8659994801	0.4320186747
40	0.8661294515	0.4274038506
41	0.8662594229	0.4226668149
42	0.8663893943	0.4185767588
43	0.8663893943	0.4145095516
44	0.8665193657	0.4111724073
45	0.8665193657	0.407737998
46	0.8662594229	0.4045264793
47	0.8662594229	0.4016185988
48	0.8667793086	0.3985316983
49	0.8678190798	0.3958780179
50	0.8679490512	0.3934603482
51	0.8678190798	0.3902940111
52	0.8680790226	0.3874325197
53	0.8691187939	0.384336938
54	0.8695087081	0.381580381
55	0.8700285937	0.3789809815
56	0.8701585651	0.3766243398
57	0.8709383936	0.374540033
58	0.871068365	0.3727611971
59	0.8719781648	0.3710770293
60	0.8721081362	0.369185138
61	0.8731479075	0.3679185286
62	0.8735378217	0.3664013919
63	0.8737977645	0.3653019287
64	0.8743176501	0.3637285634
65	0.8747075643	0.3623745797
66	0.8753574214	0.3612392863
67	0.8750974786	0.3597405837
68	0.8754873928	0.3586365332
69	0.8754873928	0.3572622876
70	0.8754873928	0.3558000633
71	0.8757473356	0.3547513621
72	0.8760072784	0.3537647051
73	0.8760072784	0.3524027581
74	0.8761372498	0.3510133537
75	0.8763971926	0.3501669981
76	0.8763971926	0.3493318216
77	0.8763971926	0.3487245941
78	0.8763971926	0.3477514002
79	0.8763971926	0.3468812599
80	0.8761372498	0.3462150576
81	0.8763971926	0.3454789495
82	0.8763971926	0.3439680773
83	0.8763971926	0.342973047
84	0.8766571354	0.3418623119
85	0.8766571354	0.3409779767
86	0.8766571354	0.3404554529
87	0.8767871068	0.3399985612
88	0.8766571354	0.3390309947
89	0.8766571354	0.3383749674
90	0.8766571354	0.3373478098
91	0.8767871068	0.3371168013
92	0.8770470496	0.33646896
93	0.8771770211	0.3357609973
94	0.8769170782	0.3347684343
95	0.8773069925	0.3341121493
96	0.8780868209	0.3332187317
97	0.8780868209	0.3328468924
98	0.8779568495	0.3323622692
99	0.8782167923	0.3317541665
100	0.8780868209	0.3314371567
101	0.8782167923	0.3310034396
102	0.8780868209	0.330249062
103	0.8779568495	0.3297946147
104	0.8780868209	0.3293298964
105	0.8780868209	0.3285486049
106	0.8784767351	0.3277683627
107	0.8786067065	0.3273002871
108	0.8787366779	0.3267509911
109	0.8788666493	0.326404365
110	0.8788666493	0.326251056
111	0.8787366779	0.3256662951
112	0.8791265921	0.3253804537
113	0.8791265921	0.3251343538
114	0.8792565636	0.3247111249
115	0.879386535	0.3243800435
116	0.8795165064	0.3239753991
117	0.8795165064	0.323692856
118	0.8795165064	0.3234655595
119	0.8795165064	0.3232568354
120	0.8796464778	0.3229412067
121	0.879386535	0.3225533409
122	0.8797764492	0.3221503679
123	0.8797764492	0.3218949679
124	0.8797764492	0.3218301297
125	0.8799064206	0.3216371334
126	0.880036392	0.3212150531
127	0.880036392	0.3208892368
128	0.8802963348	0.3205093227
129	0.8802963348	0.3201101379
130	0.8802963348	0.3201100486
131	0.8802963348	0.3197873221
132	0.8802963348	0.3195278952
133	0.8804263062	0.3193584315
134	0.8802963348	0.3188659098
135	0.8801663634	0.3186956637
136	0.8804263062	0.3183327882
137	0.8804263062	0.3181590725
138	0.8805562776	0.3179397232
139	0.8805562776	0.3179074887
140	0.880686249	0.317682433
141	0.8808162204	0.3175802652
142	0.8808162204	0.3175657933
143	0.880686249	0.3173285289
144	0.8808162204	0.3171643108
145	0.8808162204	0.3169658414
146	0.880686249	0.3168402056
147	0.880686249	0.3167110449
148	0.880686249	0.3164359713
149	0.8805562776	0.3160038777
150	0.8808162204	0.3157932138
151	0.8808162204	0.3156440589
152	0.8809461918	0.3154221721
153	0.8808162204	0.3150552052
154	0.8808162204	0.3150273332
155	0.8809461918	0.314714563
156	0.8809461918	0.3146877138
157	0.8808162204	0.3145185663
158	0.8808162204	0.314274256
159	0.8808162204	0.3140891738
160	0.8810761632	0.313938047
161	0.8812061347	0.3137146138
162	0.8812061347	0.3133640126
163	0.8813361061	0.3133293723
164	0.8813361061	0.3131889634
165	0.8813361061	0.3129989672
166	0.8815960489	0.3127342287
167	0.8813361061	0.3125599114
168	0.8813361061	0.3124929643
169	0.8813361061	0.3121015444
170	0.8813361061	0.3120816665
