iter	Accuracy	MultiClass
0	0.7913958929	1.047123036
1	0.7951650637	1.001615805
2	0.8011437484	0.9593126342
3	0.7984143488	0.9227957322
4	0.7985443202	0.8899291565
5	0.7985443202	0.859848855
6	0.7986742917	0.8336388075
7	0.7982843774	0.8090974973
8	0.7988042631	0.786056161
9	0.7995840915	0.7658776556
10	0.8008838056	0.7465573756
11	0.8015336626	0.728807729
12	0.8017936054	0.7099275613
13	0.8019235768	0.6881851366
14	0.8024434624	0.6677427075
15	0.8030933195	0.6490739328
16	0.8040031193	0.632781291
17	0.8042630621	0.6173780134
18	0.8056927476	0.6033503338
19	0.8116714323	0.5896245574
20	0.8160904601	0.5767961231
21	0.8180400312	0.5645898043
22	0.8229789446	0.5535821981
23	0.8273979724	0.5436662209
24	0.8286976865	0.5320842613
25	0.8428645698	0.5215299648
26	0.8494931115	0.5123576772
27	0.85027294	0.5038561428
28	0.8526124253	0.4956216763
29	0.8546919678	0.4880712307
30	0.8559916818	0.480475983
31	0.8567715103	0.4734608046
32	0.8572913959	0.4672933027
33	0.8574213673	0.4619423851
34	0.859890824	0.4560499288
35	0.8630101378	0.4504480259
36	0.8649597089	0.4442197994
37	0.8656095659	0.4377176285
38	0.8670392514	0.4315488658
39	0.8680790226	0.4258481122
40	0.8684689368	0.4202333506
41	0.8685989082	0.4148234479
42	0.8689888225	0.4103527509
43	0.8697686509	0.4060361948
44	0.8701585651	0.4023105893
45	0.8708084221	0.3985922368
46	0.8706784507	0.3951724714
47	0.8704185079	0.391885967
48	0.8705484793	0.3886320681
49	0.8708084221	0.385785768
50	0.8709383936	0.3831032411
51	0.871068365	0.3807214449
52	0.8713283078	0.377612374
53	0.8718481934	0.37529398
54	0.8721081362	0.3727955414
55	0.8722381076	0.3704594925
56	0.8735378217	0.3682747659
57	0.8736677931	0.3661270829
58	0.8741876787	0.3636429314
59	0.8761372498	0.3618257366
60	0.8766571354	0.3596184906
61	0.8771770211	0.3578980744
62	0.8773069925	0.3562101759
63	0.8779568495	0.3546994152
64	0.8776969067	0.3532373572
65	0.8782167923	0.3518506449
66	0.8784767351	0.3505035104
67	0.8786067065	0.3493837526
68	0.8784767351	0.3478859382
69	0.8788666493	0.3467041299
70	0.8787366779	0.3458197117
71	0.879386535	0.344258715
72	0.8792565636	0.3428999872
73	0.879386535	0.34178617
74	0.8796464778	0.3408200518
75	0.879386535	0.3397534141
76	0.880036392	0.3383195091
77	0.8797764492	0.3370698386
78	0.8799064206	0.3356868863
79	0.8802963348	0.3349666429
80	0.8809461918	0.3342943813
81	0.880686249	0.3332133746
82	0.8805562776	0.3322310972
83	0.8809461918	0.3309419917
84	0.8808162204	0.3299192621
85	0.8808162204	0.3293972397
86	0.8809461918	0.3291919367
87	0.8812061347	0.328404861
88	0.8812061347	0.3275729636
89	0.8810761632	0.3265437599
90	0.8810761632	0.3260823236
91	0.8814660775	0.3253928545
92	0.8815960489	0.3246272506
93	0.8817260203	0.3241837361
94	0.8818559917	0.3234595695
95	0.8818559917	0.3232847995
96	0.8821159345	0.3225207715
97	0.8818559917	0.3220430877
98	0.8819859631	0.3212915493
99	0.8822459059	0.3207559742
100	0.8822459059	0.3206514425
101	0.8825058487	0.3200065385
102	0.8826358201	0.3194878762
103	0.8830257343	0.3188387497
104	0.8826358201	0.3184534774
105	0.8828957629	0.3178827128
106	0.8828957629	0.3178535359
107	0.8827657915	0.3176091828
108	0.8828957629	0.3171162266
109	0.8830257343	0.3169000165
110	0.8830257343	0.3164716887
111	0.88354562	0.3158175573
112	0.8834156486	0.3154553511
113	0.88354562	0.3151040807
114	0.88354562	0.3149527237
115	0.88354562	0.3143221246
116	0.8836755914	0.3139459969
117	0.8838055628	0.3133260361
118	0.8838055628	0.3129018547
119	0.88354562	0.3126078577
120	0.8836755914	0.3121882468
121	0.88354562	0.3117943313
122	0.8836755914	0.3114735738
123	0.8838055628	0.3112454921
124	0.8838055628	0.3106035971
125	0.8836755914	0.3101708223
126	0.8838055628	0.3097727519
127	0.8839355342	0.3095002757
128	0.8839355342	0.3092459382
129	0.8840655056	0.3089498559
130	0.884195477	0.3087583262
131	0.884195477	0.3086197963
132	0.884195477	0.3081746209
133	0.8843254484	0.3079059106
134	0.8844554198	0.3076916205
135	0.8843254484	0.3074282606
136	0.8843254484	0.3073604703
137	0.8843254484	0.306976027
138	0.8845853912	0.3066291198
139	0.8847153626	0.3065213178
140	0.8847153626	0.3062365078
141	0.8845853912	0.3058732254
142	0.8845853912	0.3053677193
143	0.8849753054	0.3050142652
144	0.884845334	0.304831995
145	0.8851052768	0.3044488725
146	0.8851052768	0.3043370093
147	0.8849753054	0.3040910837
148	0.884845334	0.3038969586
149	0.8847153626	0.3038126541
150	0.8845853912	0.3034698403
151	0.8845853912	0.3034384996
152	0.8845853912	0.3030429452
153	0.8845853912	0.3029719263
154	0.8847153626	0.3026701583
155	0.884845334	0.3023052393
156	0.8851052768	0.3022027262
157	0.8851052768	0.3020627021
158	0.8852352482	0.3016891342
159	0.8852352482	0.3014138465
160	0.8852352482	0.301237349
161	0.8851052768	0.30112104
