iter	Passed	Remaining
0	30	15122
1	79	19863
2	115	19070
3	152	18862
4	190	18848
5	220	18180
6	240	16935
7	261	16061
8	288	15742
9	307	15076
10	333	14838
11	359	14610
12	390	14642
13	424	14720
14	451	14596
15	483	14615
16	515	14652
17	545	14596
18	574	14544
19	602	14465
20	630	14374
21	658	14301
22	684	14199
23	713	14147
24	743	14132
25	774	14114
26	805	14104
27	834	14071
28	866	14077
29	894	14009
30	922	13952
31	951	13914
32	981	13894
33	1013	13886
34	1044	13879
35	1072	13819
36	1104	13816
37	1133	13780
38	1161	13729
39	1193	13725
40	1231	13788
41	1262	13770
42	1297	13788
43	1332	13804
44	1364	13795
45	1394	13761
46	1424	13732
47	1459	13739
48	1501	13816
49	1540	13860
50	1581	13926
51	1626	14011
52	1662	14025
53	1699	14035
54	1738	14062
55	1780	14117
56	1819	14141
57	1858	14162
58	1900	14208
59	1937	14204
60	1978	14240
61	2010	14205
62	2042	14164
63	2073	14126
64	2107	14101
65	2135	14043
66	2165	13996
67	2195	13946
68	2225	13902
69	2256	13861
70	2286	13818
71	2318	13781
72	2348	13738
73	2381	13707
74	2412	13668
75	2442	13625
76	2472	13582
77	2502	13539
78	2533	13500
79	2565	13467
80	2597	13435
81	2628	13397
82	2655	13341
83	2686	13306
84	2717	13269
85	2752	13248
86	2764	13122
87	2803	13127
88	2841	13120
89	2878	13115
90	2911	13083
91	2947	13072
92	2985	13065
93	3020	13048
94	3057	13033
95	3077	12950
96	3112	12929
97	3143	12893
98	3178	12872
99	3204	12817
100	3236	12785
101	3270	12761
102	3304	12736
103	3335	12699
104	3365	12662
105	3396	12623
106	3407	12515
107	3421	12418
108	3451	12382
109	3481	12344
110	3515	12319
111	3551	12304
112	3582	12270
113	3613	12235
114	3622	12126
115	3655	12100
116	3691	12084
117	3722	12049
118	3753	12018
119	3788	11997
120	3823	11974
121	3859	11959
122	3892	11931
123	3928	11910
124	3964	11893
125	4001	11876
126	4038	11861
127	4072	11834
128	4106	11810
129	4138	11779
130	4172	11752
131	4202	11716
132	4232	11680
133	4262	11642
134	4294	11611
135	4329	11588
136	4360	11553
137	4388	11512
138	4421	11482
139	4454	11454
140	4490	11432
141	4523	11404
142	4558	11379
143	4594	11359
144	4629	11334
145	4663	11307
146	4701	11289
147	4738	11269
148	4772	11243
149	4808	11220
150	4847	11202
151	4880	11173
152	4916	11150
153	4945	11111
154	4978	11080
155	5012	11054
156	5046	11025
157	5080	10997
158	5113	10966
159	5151	10946
160	5184	10917
161	5214	10880
162	5245	10844
163	5275	10808
164	5304	10770
165	5335	10734
166	5365	10698
167	5395	10662
168	5422	10620
169	5456	10591
170	5491	10565
171	5524	10535
172	5561	10512
173	5601	10494
174	5632	10461
175	5667	10433
176	5697	10397
177	5728	10362
178	5766	10340
179	5803	10316
180	5833	10280
181	5865	10248
182	5893	10209
183	5924	10174
184	5955	10140
185	5985	10105
186	6017	10072
187	6049	10039
188	6082	10008
189	6115	9978
190	6148	9946
191	6182	9917
192	6214	9884
193	6241	9845
194	6271	9809
195	6302	9775
196	6333	9741
197	6366	9710
198	6395	9674
199	6424	9637
200	6456	9604
201	6483	9564
202	6510	9525
203	6543	9494
204	6574	9460
205	6605	9427
206	6634	9390
207	6665	9357
208	6698	9326
209	6727	9290
