iter	MultiClass
0	1.048045395
1	1.006654684
2	0.9696074024
3	0.9323068956
4	0.8993172789
5	0.8710561451
6	0.8429409149
7	0.8164626265
8	0.7928423379
9	0.7715920095
10	0.753097318
11	0.7296040733
12	0.7081120297
13	0.6888823003
14	0.6688048647
15	0.6493310132
16	0.6323407844
17	0.6159782845
18	0.6012359816
19	0.5887064947
20	0.5763909144
21	0.5643059896
22	0.5523403776
23	0.5410487543
24	0.5308919612
25	0.523962254
26	0.5139320876
27	0.504044127
28	0.4957328004
29	0.4876282713
30	0.480483985
31	0.4741868201
32	0.4670301046
33	0.4602023564
34	0.4541221388
35	0.4486328342
36	0.4429236715
37	0.4375423417
38	0.4322082904
39	0.4276863961
40	0.4233090727
41	0.4182671465
42	0.4140604394
43	0.4096103181
44	0.4062083246
45	0.4023316373
46	0.3989410164
47	0.3956610345
48	0.3927442513
49	0.3894634366
50	0.3869178277
51	0.3847486774
52	0.381757576
53	0.3787631121
54	0.376863877
55	0.3742398637
56	0.372214224
57	0.3700439158
58	0.3679120168
59	0.36610373
60	0.3638945199
61	0.3620540376
62	0.3597600948
63	0.3578323855
64	0.3562806093
65	0.3549937414
66	0.3538133992
67	0.3520460931
68	0.3505857607
69	0.3496408824
70	0.3483123571
71	0.3472502742
72	0.3460607108
73	0.3450383584
74	0.3440298561
75	0.3431954174
76	0.3425554971
77	0.341225348
78	0.3403364984
79	0.3395082752
80	0.3384364519
81	0.3375957994
82	0.336470396
83	0.3354428141
84	0.3344215085
85	0.3338930138
86	0.3333023216
87	0.3324091119
88	0.3315950257
89	0.3311001731
90	0.3305543763
91	0.3300515514
92	0.3297101718
93	0.3291503993
94	0.328528201
95	0.3278410915
96	0.3269938068
97	0.3265700269
98	0.3259858591
99	0.3254290779
100	0.3248353753
101	0.3243289301
102	0.3238267614
103	0.3233631976
104	0.3231304475
105	0.3228224538
106	0.3222875294
107	0.3219321138
108	0.321614566
109	0.32141601
110	0.3212332115
111	0.3207775873
112	0.3203683653
113	0.3201532147
114	0.3197990603
115	0.3196172655
116	0.3193590483
117	0.318764178
118	0.318436005
119	0.3182027391
120	0.3178338618
121	0.3175918398
122	0.3173061638
123	0.3170595373
124	0.3169785918
125	0.3167425067
126	0.3164574742
127	0.316314063
128	0.3160314003
129	0.3157994968
130	0.3155318027
131	0.3153551695
132	0.3149844064
133	0.3147586945
134	0.3144576051
135	0.3142592455
136	0.3140999065
137	0.3139167536
138	0.3134352033
139	0.3132123306
140	0.313009768
141	0.3129763363
142	0.3126852556
143	0.3124408464
144	0.3122302396
145	0.311887865
146	0.3116042892
147	0.3113313272
148	0.3111272794
149	0.3109663643
150	0.3104666245
151	0.3103081802
152	0.3100047862
153	0.3097698771
154	0.3095923838
155	0.3095146485
156	0.3093727661
157	0.309233659
158	0.309058269
159	0.3087906929
160	0.3086835159
161	0.3085393776
162	0.3082513343
163	0.307947012
164	0.3079350087
165	0.3074766834
166	0.3073435185
167	0.30717265
168	0.307001991
169	0.3069381764
170	0.3069017062
171	0.3068432967
